Command	INDEX_TABLE				
Title	破产指数表				
Column/Name	破产指数@2016/12/31	Y2016			
Scope0	and corpId in ('600309','600315','002450','600585','000869','600129','601088','600600','600660','603630','000651','000333','600664','600276','300498','000848')				
Scope1	and corpId in ('600664','600276','601607','000538','600129','300498')				
Data					
CORP	NAME	Y2016			
000880	潍柴重机	11.74			
000881	中广核技	26.13			
000882	华联股份	14.00			
000883	湖北能源	13.57			
000885	同力水泥	17.21			
000886	海南高速	63.05			
000887	中鼎股份	38.39			
000888	峨眉山Ａ	77.28			
000889	茂业通信	132.68			
000890	法 尔 胜	3.01			
000892	欢瑞世纪	119.64			
000893	东凌国际	94.38			
000895	双汇发展	81.76			
000897	津滨发展	12.25			
000898	鞍钢股份	5.39			
000899	赣能股份	18.56			
000900	现代投资	4.86			
000901	航天科技	39.32			
000902	新洋丰	34.92			
000903	云内动力	8.34			
000905	厦门港务	11.53			
000906	浙商中拓	5.41			
000908	景峰医药	12.59			
000909	数源科技	10.11			
000910	大亚圣象	30.90			
000911	南宁糖业	4.42			
000912	泸天化	0.78			
000913	钱江摩托	41.30			
000915	山大华特	113.18			
000916	华北高速	37.70			
000917	电广传媒	11.12			
000918	嘉凯城	3.78			
000919	金陵药业	48.60			
000920	南方汇通	41.58			
000921	海信科龙	10.05			
000922	*ST佳电	19.65			
000923	河北宣工	39.50			
000925	众合科技	14.81			
000926	福星股份	6.07			
000927	一汽夏利	17.39			
000928	中钢国际	6.20			
000929	兰州黄河	52.14			
000930	中粮生化	17.22			
000931	中 关 村	17.90			
000932	*ST华菱	-1.95			
000933	神火股份	-0.21			
000935	四川双马	55.96			
000936	华西股份	13.19			
000937	冀中能源	6.94			
000938	紫光股份	38.32			
000939	凯迪生态	5.71			
000948	南天信息	19.36			
000949	新乡化纤	19.24			
000950	*ST建峰	8.04			
000951	中国重汽	5.70			
000952	广济药业	22.97			
000953	*ST河化	19.80			
000955	欣龙控股	46.91			
000957	中通客车	10.78			
000958	东方能源	12.18			
000959	首钢股份	0.34			
000960	锡业股份	4.40			
000961	中南建设	4.10			
000962	东方钽业	19.57			
000963	华东医药	27.26			
000965	天保基建	21.36			
000966	长源电力	5.20			
000967	盈峰环境	31.51			
000968	蓝焰控股	13.98			
000969	安泰科技	16.05			
000970	中科三环	133.36			
000971	高升控股	188.59			
000972	*ST中基	9.94			
000973	佛塑科技	21.17			
000975	银泰资源	430.68			
000976	春晖股份	95.65			
000977	浪潮信息	24.91			
