Command	INDEX_TABLE				
Title	破产指数表				
Column/Name	破产指数@2016/12/31	Y2016			
Scope0	and corpId in ('600309','600315','002450','600585','000869','600129','601088','600600','600660','603630','000651','000333','600664','600276','300498','000848')				
Scope1	and corpId in ('600664','600276','601607','000538','600129','300498')				
Data					
CORP	NAME	Y2016			
300596	利安隆	36.47			
300597	吉大通信	120.21			
300598	诚迈科技	200.26			
300599	雄塑科技	55.22			
300600	瑞特股份	157.50			
300601	康泰生物	73.85			
300602	飞荣达	83.04			
300603	立昂技术	51.02			
300604	长川科技	270.98			
300605	恒锋信息	80.64			
300606	金太阳	190.41			
300607	拓斯达	160.52			
300608	思特奇	36.89			
300609	汇纳科技	420.94			
300610	晨化股份	196.82			
300611	美力科技	75.64			
300612	宣亚国际	196.44			
300613	富瀚微	683.54			
300615	欣天科技	135.14			
300616	尚品宅配	54.45			
300617	安靠智电	109.34			
300618	寒锐钴业	127.23			
300619	金银河	69.69			
300620	光库科技	359.48			
300621	维业股份	14.56			
300622	博士眼镜	250.99			
300623	捷捷微电	449.85			
300625	三雄极光	81.75			
300626	华瑞股份	27.78			
300627	华测导航	156.90			
300628	亿联网络	1168.31			
300629	新劲刚	82.97			
300630	普利制药	161.23			
300631	久吾高科	83.02			
300632	光莆股份	77.17			
300633	开立医疗	165.43			
300635	达安股份	90.08			
300636	同和药业	130.85			
300637	扬帆新材	85.90			
300638	广和通	105.71			
300639	凯普生物	251.40			
300640	德艺文创	222.56			
300641	正丹股份	96.84			
300642	透景生命	582.49			
300643	万通智控	184.38			
300645	正元智慧	71.73			
300647	超频三	98.39			
300648	星云股份	102.20			
300649	杭州园林	155.11			
300650	太龙照明	159.92			
300651	金陵体育	97.88			
300652	雷迪克	64.64			
300653	正海生物	483.03			
300655	晶瑞股份	65.76			
300656	民德电子	794.54			
300657	弘信电子	18.31			
300658	延江股份				
300659	中孚信息	186.54			
300660	江苏雷利				
300661	圣邦股份				
300662	科锐国际				
300663	科蓝软件				
300665	飞鹿股份				
300666	江丰电子				
600000	浦发银行	0.44			
600004	白云机场	21.18			
600006	东风汽车	6.77			
600007	中国国贸	27.61			
600008	首创股份	9.31			
600009	上海机场	116.03			
600010	包钢股份	2.78			
600011	华能国际	2.44			
600012	皖通高速	40.38			
600015	华夏银行	0.46			
600016	民生银行	0.46			
600017	日照港	10.62			
600018	上港集团	20.18			
600019	宝钢股份	5.60			
600020	中原高速	1.06			
600021	上海电力	3.68			
600022	山东钢铁	2.27			
600023	浙能电力	14.02			
600026	中远海能	6.73			
600027	华电国际	0.82			
600028	中国石化	8.07			
600029	南方航空	2.61			
600030	中信证券	3.27			
600031	三一重工	12.29			
600033	福建高速	9.89			
600035	楚天高速	12.62			
600036	招商银行	0.80			
600037	歌华有线	60.22			
600038	中直股份	15.05			
600039	四川路桥	1.87			
600048	保利地产	5.22			
600050	中国联通	0.17			
600051	宁波联合	4.79			
600052	浙江广厦	13.56			
600053	九鼎投资	41.65			
600054	黄山旅游	98.49			
600055	万东医疗	92.04			
600056	中国医药	17.82			
600057	象屿股份	3.95			
600058	五矿发展	4.70			
600059	古越龙山	82.28			
600060	海信电器	18.80			
600061	国投安信	5.73			
600062	华润双鹤	113.08			
600063	皖维高新	7.40			
600064	南京高科	5.42			
600066	宇通客车	17.55			
600067	冠城大通	8.11			
600068	葛洲坝	5.31			
600069	银鸽投资	28.05			
600070	浙江富润	33.00			
600071	凤凰光学	70.62			
600072	中船科技	12.38			
600073	上海梅林	10.18			
600074	保千里	43.47			
600075	新疆天业	9.27			
600076	康欣新材	85.19			
600077	宋都股份	7.61			
600078	澄星股份	4.35			
600079	人福医药	12.38			
600080	金花股份	56.05			
600081	东风科技	8.81			
600082	海泰发展	21.38			
600083	博信股份	309.35			
600084	中葡股份	47.83			
600085	同仁堂	65.55			
600086	东方金钰	18.86			
600088	中视传媒	125.27			
600089	特变电工	5.65			
600090	同济堂	31.86			
600091	ST明科				
600093	易见股份	23.12			
600094	大名城	5.62			
600095	哈高科	59.66			
600096	云天化	-1.35			
600097	开创国际	55.62			
600098	广州发展	8.30			
600099	林海股份	167.01			
600100	同方股份	9.73			
600101	明星电力	26.10			
600103	青山纸业	33.06			
600104	上汽集团	7.85			
600105	永鼎股份	42.37			
600106	重庆路桥	11.71			
600107	美尔雅	56.95			
600108	亚盛集团	20.13			
600109	国金证券	8.11			
600110	诺德股份	29.91			
600111	北方稀土	49.64			
600112	*ST天成				
600113	浙江东日	88.45			
600114	东睦股份	117.77			
600115	东方航空	2.67			
600116	三峡水利	33.49			
600117	西宁特钢	-1.31			
600118	中国卫星	44.54			
600119	长江投资	18.99			
600120	浙江东方	20.26			
600121	*ST郑煤				
600122	宏图高科	10.98			
600123	兰花科创	3.89			
600125	铁龙物流	33.70			
600126	杭钢股份	11.57			
600127	金健米业	22.96			
600128	弘业股份	14.71			
600129	太极集团	3.77			
600130	波导股份	74.41			
600131	岷江水电	17.20			
600132	重庆啤酒	35.57			
600133	东湖高新	3.41			
600135	乐凯胶片	112.18			
600136	当代明诚	52.44			
600137	浪莎股份	222.54			
600138	中青旅	24.05			
600139	西部资源	8.04			
600141	兴发集团	1.28			
600143	金发科技	11.93			
600145	*ST新亿				
600146	商赢环球	110.09			
600148	长春一东	51.14			
600149	*ST坊展				
600150	中国船舶	8.86			
600151	航天机电	10.54			
600152	维科精华	37.04			
600153	建发股份	5.04			
600155	宝硕股份	15.43			
600156	华升股份	50.44			
600157	永泰能源	3.12			
600158	中体产业	54.31			
600159	大龙地产	51.31			
600160	巨化股份	113.43			
600161	天坛生物	52.24			
600162	香江控股	7.90			
600163	中闽能源	20.10			
600165	新日恒力	31.47			
600166	福田汽车	3.34			
600167	联美控股	26.07			
600168	武汉控股	11.95			
600169	太原重工	2.20			
600170	上海建工	2.40			
600171	上海贝岭	201.26			
600172	黄河旋风	11.40			
600173	卧龙地产	18.50			
600175	美都能源	18.23			
600176	中国巨石	13.53			
600177	雅戈尔	5.71			
600178	东安动力	11.67			
600179	安通控股				
600180	瑞茂通	10.87			
600182	S佳通	83.74			
600183	生益科技	28.11			
600184	光电股份	44.56			
600185	格力地产	8.91			
600186	莲花健康	6.53			
600187	国中水务	35.00			
600188	兖州煤业	4.54			
600189	吉林森工	7.28			
600190	锦州港	10.45			
600191	华资实业	79.24			
600192	长城电工	10.64			
600193	创兴资源	443.01			
600195	中牧股份	25.93			
600196	复星医药	29.42			
600197	伊力特	77.69			
600198	大唐电信	6.97			
600199	金种子酒	32.78			
600200	江苏吴中	29.63			
600201	生物股份	244.42			
600202	哈空调	27.30			
600203	福日电子	9.48			
600206	有研新材	183.36			
600207	安彩高科	97.43			
600208	新湖中宝	6.39			
600209	罗顿发展	234.74			
600210	紫江企业	8.94			
600211	西藏药业	25.78			
600212	江泉实业				
600213	亚星客车	3.58			
600215	长春经开	35.70			
600216	浙江医药	37.24			
600217	中再资环	20.15			
600218	全柴动力	16.50			
600219	南山铝业	23.16			
600220	江苏阳光	18.71			
600221	海航控股	4.81			
600222	太龙药业	22.74			
600223	鲁商置业	2.71			
600225	*ST松江				
600226	瀚叶股份	42.43			
600227	赤天化	29.59			
600228	*ST昌九				
600229	城市传媒	63.04			
600230	沧州大化				
600231	凌钢股份	3.88			
600232	金鹰股份	45.10			
600233	圆通速递	19.16			
600234	ST山水				
600235	民丰特纸	18.21			
600236	桂冠电力	9.61			
600237	铜峰电子	26.25			
600238	海南椰岛	38.42			
600239	云南城投	3.13			
600240	华业资本	7.15			
600241	时代万恒	12.79			
600242	中昌数据	64.47			
600243	青海华鼎	25.04			
600246	万通地产	14.01			
600247	ST成城				
600248	延长化建	9.00			
600249	两面针	22.49			
600250	南纺股份	13.00			
600251	冠农股份	25.00			
600252	中恒集团	84.31			
600255	鑫科材料	34.35			
600256	广汇能源	3.20			
600257	大湖股份	71.35			
600258	首旅酒店	8.43			
600259	广晟有色	35.37			
600260	凯乐科技	12.13			
600261	阳光照明	29.83			
600262	北方股份	27.40			
600265	ST景谷				
600266	北京城建	6.17			
600267	海正药业	5.92			
600268	国电南自	2.99			
600269	赣粤高速	5.99			
600270	外运发展	83.15			
600271	航天信息	39.05			
600272	开开实业	43.56			
600273	嘉化能源	29.02			
600275	*ST昌鱼				
600276	恒瑞医药	557.72			
600277	亿利洁能	9.03			
600278	东方创业	13.41			
600279	重庆港九	9.86			
600280	中央商场	4.24			
600281	太化股份	13.50			
600282	南钢股份	0.47			
600283	钱江水利	7.63			
600284	浦东建设	12.09			
600285	羚锐制药	53.55			
600287	江苏舜天	11.86			
600288	大恒科技	28.88			
600289	亿阳信通	55.41			
600290	华仪电气	25.40			
600291	西水股份	0.49			
600292	远达环保	17.58			
600293	三峡新材	18.14			
600295	鄂尔多斯	0.36			
600297	广汇汽车	3.60			
600298	安琪酵母	40.86			
600299	安迪苏	57.06			
600300	维维股份	12.17			
600301	ST南化				
600302	标准股份	55.64			
600303	曙光股份	7.63			
600305	恒顺醋业	67.07			
600306	商业城				
600307	酒钢宏兴	0.76			
600308	华泰股份	5.51			
600309	万华化学	11.02			
600310	桂东电力	5.39			
600311	荣华实业	196.91			
600312	平高电气	16.95			
600313	农发种业	21.43			
600315	上海家化	59.39			
600316	洪都航空	15.32			
600317	营口港	31.38			
600318	新力金融	4.67			
600319	亚星化学				
600320	振华重工	2.94			
600321	国栋建设	128.89			
600322	天房发展	5.34			
600323	瀚蓝环境	9.50			
600325	华发股份	4.56			
600326	西藏天路	15.14			
600327	大东方	14.47			
600328	兰太实业	6.13			
600329	中新药业	46.51			
600330	天通股份	41.32			
600331	宏达股份	14.46			
600332	白云山	42.08			
600333	长春燃气	4.78			
600335	国机汽车	7.14			
600336	澳柯玛	14.03			
600337	美克家居	14.08			
600338	西藏珠峰	235.87			
600339	中油工程				
600340	华夏幸福	5.09			
600343	航天动力	45.01			
600345	长江通信	106.74			
600346	恒力股份				
600348	阳泉煤业	3.38			
600350	山东高速	12.08			
600351	亚宝药业	27.90			
600352	浙江龙盛	12.32			
600353	旭光股份	76.99			
600354	敦煌种业	16.09			
600355	精伦电子	161.88			
600356	恒丰纸业	30.57			
600358	国旅联合	59.19			
600359	新农开发	7.11			
600360	华微电子	23.75			
600361	华联综超	3.40			
600362	江西铜业	12.16			
600363	联创光电	28.13			
600365	通葡股份	70.74			
600366	宁波韵升	62.40			
600367	红星发展	42.06			
600368	五洲交通	5.66			
600369	西南证券	4.26			
600370	三房巷	118.24			
600371	万向德农	62.17			
600372	中航电子	17.73			
600373	中文传媒	28.36			
600375	华菱星马				
600376	首开股份	4.57			
600377	宁沪高速	24.35			
600378	天科股份	103.27			
600379	宝光股份	97.54			
600380	健康元	15.94			
600381	青海春天	288.73			
600382	广东明珠	69.56			
600383	金地集团	6.27			
600385	山东金泰	128.01			
600386	北巴传媒	24.10			
600387	海越股份	5.70			
600388	龙净环保	11.90			
600389	江山股份	16.63			
600390	五矿资本				
600391	航发科技	17.71			
600392	盛和资源	71.17			
600393	粤泰股份	15.53			
600395	盘江股份	16.18			
600396	金山股份	0.40			
600397	安源煤业	3.05			
600398	海澜之家	7.96			
600399	抚顺特钢	3.73			
600400	红豆股份	16.34			
600401	*ST海润				
600403	*ST大有				
600405	动力源	12.81			
600406	国电南瑞	37.61			
600408	安泰集团	2.02			
600409	三友化工	7.11			
600410	华胜天成	16.46			
600415	小商品城	15.94			
600416	湘电股份	7.07			
600418	江淮汽车	4.67			
600419	天润乳业	89.23			
600420	现代制药	4.96			
600421	仰帆控股	500.37			
600422	昆药集团	36.74			
600423	*ST柳化				
600425	*ST青松				
600426	华鲁恒升	19.55			
600428	中远海特	7.38			
600429	三元股份	27.00			
600432	*ST吉恩				
600433	冠豪高新	29.75			
600435	北方导航	69.72			
600436	片仔癀	179.41			
600438	通威股份	14.88			
600439	瑞贝卡	23.03			
600444	国机通用	29.38			
600446	金证股份	68.61			
600448	华纺股份	7.81			
600449	宁夏建材	9.82			
600452	涪陵电力	14.83			
600455	博通股份	33.11			
600456	宝钛股份	19.05			
600458	时代新材	8.73			
600459	贵研铂业	26.39			
600460	士兰微	27.47			
600461	洪城水业	8.40			
600462	九有股份	171.63			
600463	空港股份	26.59			
600466	蓝光发展	4.55			
600467	好当家	14.11			
600468	百利电气	33.39			
600469	风神股份	4.52			
600470	六国化工	4.07			
600475	华光股份	12.80			
600476	湘邮科技	153.64			
600477	杭萧钢构	25.33			
600478	科力远	29.68			
600479	千金药业	38.12			
600480	凌云股份	12.73			
600481	双良节能	28.44			
600482	中国动力	27.53			
600483	福能股份	38.33			
600485	信威集团	27.17			
600486	扬农化工	39.68			
600487	亨通光电	17.43			
600488	天药股份	71.69			
600489	中金黄金	10.59			
600490	鹏欣资源	122.23			
600491	龙元建设	5.12			
600493	凤竹纺织	60.05			
600495	晋西车轴	95.84			
600496	精工钢构	8.77			
600497	驰宏锌锗	6.32			
600498	烽火通信	11.72			
600499	科达洁能	18.64			
600500	中化国际	5.18			
600501	航天晨光	18.05			
600502	安徽水利	4.79			
600503	华丽家族	26.24			
600505	西昌电力	16.69			
600506	香梨股份	1076.87			
600507	方大特钢	10.96			
600508	上海能源	12.30			
600509	天富能源	3.27			
600510	黑牡丹	7.99			
600511	国药股份	36.83			
600512	腾达建设	19.79			
600513	联环药业	66.83			
600515	海航基础	6.79			
600516	方大炭素	65.51			
600517	置信电气	15.86			
600518	康美药业	32.23			
600519	贵州茅台	113.46			
600520	中发科技				
600521	华海药业	66.39			
600522	中天科技	26.39			
600523	贵航股份	26.60			
600525	长园集团	16.00			
600526	菲达环保	8.27			
600527	江南高纤	274.34			
600528	中铁工业	3.83			
600529	山东药玻	60.03			
600530	交大昂立	42.00			
600531	豫光金铅	7.64			
600532	宏达矿业	52.60			
600533	栖霞建设	7.57			
600535	天士力	35.16			
600536	中国软件	23.56			
600537	亿晶光电	11.47			
600538	国发股份	82.47			
600539	狮头股份	238.57			
600540	*ST新赛				
600543	莫高股份	140.34			
600545	新疆城建	6.99			
600546	山煤国际				
600547	山东黄金	30.79			
600548	深高速	8.82			
600549	厦门钨业	21.26			
600550	保变电气	10.80			
600551	时代出版	25.57			
600552	凯盛科技	18.65			
600555	海航创新	22.37			
600556	ST慧球				
600557	康缘药业	45.93			
600558	大西洋	51.96			
600559	老白干酒	44.17			
600560	金自天正	22.46			
600561	江西长运	3.10			
600562	国睿科技	114.72			
600563	法拉电子	229.99			
600565	迪马股份	6.98			
600566	济川药业	77.59			
600567	山鹰纸业	6.18			
600568	中珠医疗	85.47			
600569	安阳钢铁	-0.33			
600570	恒生电子	87.63			
600571	信雅达	92.56			
600572	康恩贝	30.41			
600573	惠泉啤酒	198.85			
600575	皖江物流	11.47			
600576	万家文化	414.62			
600577	精达股份	41.57			
600578	京能电力	5.10			
600579	天华院	99.07			
600580	卧龙电气	6.79			
600581	八一钢铁				
600582	天地科技	10.95			
600583	海油工程	31.52			
600584	长电科技	4.04			
600585	海螺水泥	28.52			
600586	金晶科技	7.17			
600587	新华医疗	6.48			
600588	用友网络	28.84			
600589	广东榕泰	18.91			
600590	泰豪科技	17.05			
600592	龙溪股份	41.55			
600593	大连圣亚	41.96			
600594	益佰制药	36.74			
600595	中孚实业	0.47			
600596	新安股份	10.92			
600597	光明乳业	10.88			
600598	北大荒	65.35			
600599	熊猫金控	60.00			
600600	青岛啤酒	25.41			
600601	方正科技	7.94			
600602	云赛智联	51.15			
600603	广汇物流				
600604	市北高新	9.10			
600605	汇通能源	25.03			
600606	绿地控股	3.03			
600608	*ST沪科				
600609	金杯汽车	4.92			
600610	中毅达	104.82			
600611	大众交通	15.16			
600612	老凤祥	24.36			
600613	神奇制药	71.52			
600614	鹏起科技	40.96			
600615	丰华股份	121.53			
600616	金枫酒业	85.13			
600617	国新能源	3.41			
600618	氯碱化工	26.92			
600619	海立股份	9.29			
600620	天宸股份	79.55			
600621	华鑫股份	19.47			
600622	嘉宝集团	13.56			
600623	华谊集团	10.27			
600624	复旦复华	28.70			
600626	申达股份	20.89			
600628	新世界	29.75			
600629	华建集团	3.17			
600630	龙头股份	41.74			
600633	浙数文化	99.15			
600634	富控互动	37.49			
600635	大众公用	12.02			
600636	*ST爱富				
600637	东方明珠	48.84			
600638	新黄浦	12.66			
600639	浦东金桥	14.87			
600640	号百控股	80.20			
600641	万业企业	22.58			
600642	申能股份	10.11			
600643	爱建集团	15.37			
600644	乐山电力	20.39			
600645	中源协和	43.68			
600647	同达创业	121.80			
600648	外高桥	7.80			
600649	城投控股	15.04			
600650	锦江投资	72.32			
600651	飞乐音响	7.16			
600652	游久游戏	182.78			
600653	申华控股	5.67			
600654	*ST中安				
600655	豫园商城	9.87			
600657	信达地产	4.73			
600658	电子城	27.83			
600660	福耀玻璃	38.36			
600661	新南洋	29.54			
600662	强生控股	19.60			
600663	陆家嘴	8.42			
600664	哈药股份	17.42			
600665	天地源	5.59			
600666	奥瑞德	9.21			
600667	太极实业	7.68			
600668	尖峰集团	27.94			
600671	天目药业	109.12			
600673	东阳光科	17.07			
600674	川投能源	48.70			
600675	中华企业				
600676	交运股份	17.20			
600677	航天通信	5.77			
600678	四川金顶	74.54			
600679	上海凤凰	152.87			
600680	*ST上普				
600681	百川能源	47.40			
600682	南京新百	11.75			
600683	京投发展	3.95			
600684	珠江实业	9.08			
600685	中船防务	7.82			
600686	金龙汽车	3.52			
600687	刚泰控股	25.19			
600688	上海石化	54.62			
600689	上海三毛	54.71			
600690	青岛海尔	6.64			
600691	阳煤化工	-1.81			
600692	亚通股份	17.87			
600693	东百集团	23.59			
600694	大商股份	8.34			
600695	绿庭投资	53.34			
600696	*ST匹凸				
600697	欧亚集团	0.43			
600698	湖南天雁	88.79			
600699	均胜电子	9.71			
600701	工大高新				
600702	沱牌舍得	37.54			
600703	三安光电	90.13			
600704	物产中大	2.93			
600705	中航资本	2.32			
600706	曲江文旅	26.94			
600707	彩虹股份	2.34			
600708	光明地产	4.81			
600710					
600711	盛屯矿业	12.45			
600712	南宁百货	20.32			
600713	南京医药	4.68			
600714	金瑞矿业	178.21			
600715	文投控股	89.98			
600716	凤凰股份	9.45			
600717	天津港	14.36			
600718	东软集团	37.86			
600719	大连热电	22.24			
600720	祁连山	8.14			
600721	百花村				
600722	金牛化工	359.67			
600723	首商股份	18.26			
600724	宁波富达	6.08			
600725	ST云维				
600726	华电能源	-0.18			
600727	鲁北化工	57.23			
600728	佳都科技	37.50			
600729	重庆百货	10.54			
600730	中国高科	16.96			
600731	湖南海利	19.13			
600732	ST新梅				
600733	S*ST前锋				
600734	实达集团	11.87			
600735	新华锦	141.57			
600736	苏州高新	5.51			
600737	中粮糖业	10.96			
600738	兰州民百	20.13			
600739	辽宁成大	13.60			
600740	山西焦化	2.70			
600741	华域汽车	9.46			
600742	一汽富维	18.10			
600743	华远地产	6.72			
600744	华银电力	2.88			
600745	中茵股份	11.21			
600746	江苏索普	101.19			
600747	大连控股				
600748	上实发展	6.85			
600749	西藏旅游	27.28			
600750	江中药业	155.89			
600751	天海投资	2.34			
600753	东方银星	365.47			
600754	锦江股份	5.49			
600755	厦门国贸	4.86			
600756	浪潮软件	46.99			
600757	长江传媒	17.92			
600758	红阳能源	5.66			
600759	洲际油气	7.76			
600760	中航黑豹				
600761	安徽合力	32.47			
600763	通策医疗	136.21			
600764	中电广通	126.93			
600765	中航重机	7.95			
600766	园城黄金	161.24			
600767	*ST运盛				
600768	宁波富邦	19.96			
600769	祥龙电业	395.81			
600770	综艺股份	41.61			
600771	广誉远	232.90			
600773	西藏城投	11.91			
600774	汉商集团	17.29			
600775	南京熊猫	39.06			
600776	东方通信	73.84			
600777	新潮能源	160.74			
600778	友好集团	1.67			
600779	水井坊	116.82			
600780	通宝能源	7.71			
600781	辅仁药业	28.68			
600782	新钢股份	2.93			
600783	鲁信创投	48.50			
600784	鲁银投资	9.91			
600785	新华百货	14.24			
600787	中储股份	14.25			
600789	鲁抗医药	14.26			
600790	轻纺城	13.08			
600791	京能置业	13.06			
600792	云煤能源	8.76			
600793	宜宾纸业				
600794	保税科技	25.22			
600795	国电电力	0.96			
600796	钱江生化	44.59			
600797	浙大网新	44.90			
600798	宁波海运	11.26			
600800	天津磁卡	57.67			
600801	华新水泥	5.49			
600802	福建水泥	3.14			
600803	新奥股份	7.11			
600804	鹏博士	8.79			
600805	悦达投资	16.32			
600806	*ST昆机				
600807	天业股份	8.56			
600808	马钢股份	3.18			
600809	山西汾酒	83.68			
600810	神马股份	2.62			
600811	东方集团	7.36			
600812	华北制药	5.15			
600814	杭州解百	24.09			
600815	*ST厦工				
600816	安信信托	29.01			
600817	*ST宏盛				
600818	中路股份	127.86			
600819	耀皮玻璃	11.20			
600820	隧道股份	4.72			
600821	津劝业	17.27			
600822	上海物贸	24.46			
600823	世茂股份	3.11			
600824	益民集团	57.45			
600825	新华传媒	38.61			
600826	兰生股份	51.63			
600827	百联股份	7.13			
600828	茂业商业	5.99			
600829	人民同泰	17.92			
600830	香溢融通	27.30			
600831	广电网络	10.18			
600833	第一医药	58.59			
600834	申通地铁	51.97			
600835	上海机电	9.11			
600836	界龙实业	11.82			
600837	海通证券	2.81			
600838	上海九百	151.01			
600839	四川长虹	3.49			
600841	上柴股份	43.09			
600843	上工申贝	40.99			
600844	*ST丹科				
600845	宝信软件	38.24			
600846	同济科技	7.50			
600847	*ST万里				
600848	上海临港	26.97			
600850	华东电脑	22.46			
600851	海欣股份	64.04			
600853	龙建股份	3.46			
600854	春兰股份	55.48			
600855	航天长峰	62.45			
600856	中天能源	3.30			
600857	宁波中百	104.31			
600858	银座股份	1.07			
600859	王府井	14.36			
600860	*ST京城				
600861	北京城乡	15.48			
600862	中航高科	23.00			
600863	内蒙华电	3.12			
600864	哈投股份	8.74			
600865	百大集团	72.54			
600866	星湖科技				
600867	通化东宝	224.99			
600868	梅雁吉祥	250.32			
600869	智慧能源	15.46			
600870	厦华电子	559.53			
600871	石化油服	2.02			
600872	中炬高新	53.16			
600873	梅花生物	16.03			
600874	创业环保	33.09			
600875	东方电气	3.72			
600876	洛阳玻璃	81.81			
600877	*ST嘉陵				
600879	航天电子	14.01			
600880	博瑞传播	97.05			
600881	亚泰集团	2.65			
600882	广泽股份	23.48			
600883	博闻科技	306.26			
600884	杉杉股份	21.80			
600885	宏发股份	73.61			
600886	国投电力	1.94			
600887	伊利股份	53.10			
600888	新疆众和	6.63			
600889	南京化纤	26.67			
600890	中房股份	1412.90			
600891	秋林集团	19.03			
600892	大晟文化	15.99			
600893	航发动力	11.54			
600894	广日股份	29.92			
600895	张江高科	18.19			
600896	览海投资	33.86			
600897	厦门空港	65.72			
600898	国美通讯	14.58			
600900	长江电力	12.19			
600908	无锡银行	1.48			
600909	华安证券	10.74			
600917	重庆燃气	25.31			
600919	江苏银行	0.55			
600926	杭州银行	0.47			
600936	广西广电	27.01			
600939	重庆建工	1.82			
600958	东方证券	3.48			
600959	江苏有线	27.96			
600960	渤海活塞	22.47			
600961	株冶集团	2.52			
600962	国投中鲁	31.81			
600963	岳阳林纸	5.83			
600965	福成股份	74.24			
600966	博汇纸业	5.51			
600967	内蒙一机	22.90			
600969	郴电国际	4.59			
600970	中材国际	6.64			
600971	恒源煤电	7.37			
600973	宝胜股份	6.05			
600975	新五丰	45.48			
600976	健民集团	38.79			
600977	中国电影	64.78			
600978	宜华生活	13.48			
600979	广安爱众	8.18			
600980	北矿科技	71.96			
600981	汇鸿集团	5.78			
600982	宁波热电	30.71			
600983	惠而浦	13.48			
600984	建设机械	12.67			
600985	雷鸣科化	33.25			
600986	科达股份	22.03			
600987	航民股份	73.57			
600988	赤峰黄金	46.68			
600990	四创电子	23.46			
600992	贵绳股份	33.15			
600993	马应龙	128.83			
600995	文山电力	28.56			
600996	贵广网络	32.99			
600997	开滦股份	4.85			
600998	九州通	9.66			
600999	招商证券	4.40			
601000	唐山港	33.08			
601001	大同煤业	4.43			
601002	晋亿实业	29.35			
601003	柳钢股份	3.67			
601005	*ST重钢				
601006	大秦铁路	27.21			
601007	金陵饭店	25.37			
601008	连云港	13.30			
601009	南京银行	0.51			
601010	文峰股份	20.91			
601011	宝泰隆	12.62			
601012	隆基股份	25.24			
601015	陕西黑猫	6.77			
601016	节能风电	5.14			
601018	宁波港	23.79			
601020	华钰矿业	91.14			
601021	春秋航空	15.38			
601028	玉龙股份	41.48			
601038	一拖股份	8.95			
601058	赛轮金宇	5.54			
601069	西部黄金	114.60			
601088	中国神华	17.05			
601098	中南传媒	46.19			
601099	太平洋	6.80			
601100	恒立液压	42.23			
601101	昊华能源	7.35			
601106	*ST一重				
601107	四川成渝	5.42			
601111	中国国航	5.23			
601113	华鼎股份	31.14			
601116	三江购物	72.90			
601117	中国化学	6.45			
601118	海南橡胶	27.79			
601126	四方股份	35.18			
601127	小康股份	7.16			
601128	常熟银行	1.58			
601137	博威合金	32.88			
601139	深圳燃气	13.30			
601155	新城控股	4.01			
601158	重庆水务	36.96			
601163	三角轮胎	29.13			
601166	兴业银行	0.46			
601168	西部矿业	6.47			
601169	北京银行	0.56			
601177	杭齿前进	11.31			
601179	中国西电	15.74			
601186	中国铁建	3.11			
601188	龙江交通	27.78			
601198	东兴证券	6.05			
601199	江南水务	24.13			
601200	上海环境	76.53			
601208	东材科技	42.72			
601211	国泰君安	3.63			
601212	白银有色	10.69			
601216	君正集团	64.34			
601218	吉鑫科技	27.41			
601222	林洋能源	21.71			
601225	陕西煤业	8.79			
601226	华电重工	14.61			
601228	广州港	33.85			
601229	上海银行	0.71			
601231	环旭电子	30.32			
601233	桐昆股份	13.91			
601238	广汽集团	34.40			
601258	庞大集团	2.49			
601288	农业银行	0.53			
601311	骆驼股份	44.89			
601313	江南嘉捷	25.25			
601318	中国平安	1.27			
601328	交通银行	0.51			
601333	广深铁路	44.62			
601336	新华保险	1.77			
601339	百隆东方	17.02			
601366	利群股份	14.92			
601368	绿城水务	10.64			
601369	陕鼓动力	10.98			
601375	中原证券	9.25			
601377	兴业证券	3.44			
601388	怡球资源	23.47			
601390	中国中铁	3.28			
601398	工商银行	0.73			
601500	通用股份	62.52			
601515	东风股份	40.34			
601518	吉林高速	8.43			
601519	*ST智慧				
601555	东吴证券	3.35			
601558	*ST锐电				
601566	九牧王	62.66			
601567	三星医疗	23.13			
601579	会稽山	56.15			
601588	北辰实业	5.61			
601595	上海电影	86.78			
601599	鹿港文化	19.00			
601600	中国铝业	2.70			
601601	中国太保	2.34			
601607	上海医药	12.61			
601608	中信重工	13.37			
601611	中国核建	3.83			
601616	广电电气	75.19			
601618	中国中冶	3.31			
601628	中国人寿	2.41			
601633	长城汽车	20.37			
601636	旗滨集团	11.89			
601666	平煤股份	2.47			
601668	中国建筑	3.53			
601669	中国电建	2.41			
601677	明泰铝业	26.45			
601678	滨化股份	25.16			
601688	华泰证券	2.82			
601689	拓普集团	92.11			
601699	潞安环能	3.37			
601700	风范股份	26.21			
601717	郑煤机	47.79			
601718	际华集团	19.87			
601727	上海电气	6.75			
601766	中国中车	9.74			
601777	力帆股份	2.38			
601788	光大证券	3.86			
601789	宁波建工	3.86			
601798	蓝科高新	22.13			
601799	星宇股份	54.32			
601800	中国交建	3.27			
601801	皖新传媒	79.50			
601808	中海油服	9.00			
601811	新华文轩	34.90			
601818	光大银行	0.41			
601857	中国石油	10.12			
601858	中国科传	62.46			
601866	中远海发	1.54			
601872	招商轮船	11.53			
601877	正泰电器	12.77			
601880	大连港	22.52			
601881	中国银河	4.34			
601882	海天精工	75.47			
601886	江河集团	5.92			
601888	中国国旅	102.38			
601890	亚星锚链	77.24			
601898	中煤能源	3.56			
601899	紫金矿业	0.85			
601900	南方传媒	17.41			
601901	方正证券	4.48			
601908	京运通	13.34			
601918	新集能源				
601919	中远海控	4.56			
601928	凤凰传媒	26.32			
